geo,country,year,value
CAN,Canada,2000,65.1110711554643
CAN,Canada,2001,66.0042362173409
CAN,Canada,2002,69.1379021457593
CAN,Canada,2003,73.0199011226585
CAN,Canada,2004,75.8218464763381
CAN,Canada,2005,79.0576930585436
CAN,Canada,2006,83.1832820305765
CAN,Canada,2007,88.6445467018323
CAN,Canada,2008,89.1235432443532
CAN,Canada,2009,87.2052333590911
CAN,Canada,2010,91.7908733534068
CAN,Canada,2011,93.5467312807719
CAN,Canada,2012,95.3226020031376
CAN,Canada,2013,95.1476225743767
CAN,Canada,2014,97.928004648067
CAN,Canada,2015,100
CAN,Canada,2016,110.958697672953
CAN,Canada,2017,119.483254991017
CAN,Canada,2018,122.153480348533
CAN,Canada,2019,120.127946168503
CAN,Canada,2020,120.43247763946
CAN,Canada,2021,134.413305979045
CAN,Canada,2022,145.522264289125
CAN,Canada,2023,137.951365291047
CAN,Canada,2024,136.169153222762
DEU,Germany,2000,116.02785506853
DEU,Germany,2001,111.165475821729
DEU,Germany,2002,108.821093666665
DEU,Germany,2003,106.095449519108
DEU,Germany,2004,102.432504852642
DEU,Germany,2005,101.443991723618
DEU,Germany,2006,98.6183959462053
DEU,Germany,2007,94.5755427585744
DEU,Germany,2008,93.7092203905035
DEU,Germany,2009,94.6909523984203
DEU,Germany,2010,93.4581094903175
DEU,Germany,2011,93.8193714984318
DEU,Germany,2012,95.1111259170212
DEU,Germany,2013,96.9880032204737
DEU,Germany,2014,97.6513647654164
DEU,Germany,2015,100
DEU,Germany,2016,104.983526913973
DEU,Germany,2017,107.923709017769
DEU,Germany,2018,110.780333699831
DEU,Germany,2019,114.436212269406
DEU,Germany,2020,123.043584323155
DEU,Germany,2021,133.115800074107
DEU,Germany,2022,130.542928685791
DEU,Germany,2023,113.573815174307
DEU,Germany,2024,107.810222891012
FRA,France,2000,67.5118265705907
FRA,France,2001,69.7157774660165
FRA,France,2002,73.1330581267182
FRA,France,2003,80.3642270372641
FRA,France,2004,89.446951300151
FRA,France,2005,100.817906623801
FRA,France,2006,108.038875762048
FRA,France,2007,110.200663612851
FRA,France,2008,108.495462259163
FRA,France,2009,100.923822020599
FRA,France,2010,103.739817079632
FRA,France,2011,108.144246251981
FRA,France,2012,106.892505667721
FRA,France,2013,105.525956581907
FRA,France,2014,102.70328764306
FRA,France,2015,100
FRA,France,2016,99.604390146155
FRA,France,2017,100.553468791606
FRA,France,2018,101.338290445126
FRA,France,2019,101.79680599101
FRA,France,2020,107.112109980316
FRA,France,2021,109.481981877873
FRA,France,2022,111.20966898609
FRA,France,2023,102.202871647107
